#{"t_start": 1733223098.3773863, "env_id": "None"}
r,l,t
-3596452.297252,25567,154.033387
-3951973.201588,26100,169.372997
-3828375.735818,26106,184.732957
-3723193.461589,25540,199.78652-3772272.24218,26316,450.25876
-3631133.539752,25819,479.591509
-3509457.705667,26152,511.74259
-3844772.078216,25702,536.216323
-3186248.410045,25825,560.723299
-3648715.868326,25978,893.643692
-3426400.922266,25243,930.33231
-3815941.255408,26020,959.560373
-3853103.046458,26366,985.839356
-3891649.935729,26593,1017.867475
-3841901.323509,25740,1350.41524
-3921456.273927,25860,1377.882732
-3442619.199697,25613,1400.002585
-3554583.978528,25857,1432.814263
-3747006.059511,26539,1459.06806
-3202552.546194,25711,1808.317116
-3630593.999563,26505,1852.616475
-3739411.40494,26799,1875.93686
-3950885.435112,26187,1898.483273
-4124465.703612,26556,1921.802716
-3748034.359638,26160,2259.696519
-3502899.703237,25297,2287.088475
-3717721.889312,25874,2309.373955
-4100627.715563,26412,2333.729885
-3898843.025405,26507,2361.130194
-3790444.557116,26408,2691.20155
-3708106.381113,26569,2714.04477
-3609303.710267,26402,2739.402529
-4392855.377392,26628,2762.094378
-3417946.010116,25939,2784.728697
-3547472.404522,25598,3112.981676
-3512584.032042,25601,3134.97744
-3805341.545723,26009,3157.260205
-4383108.575512,26798,3180.121933
-3732580.792729,25943,3206.54769
-4065381.876827,26633,3534.190166
-3748215.765411,25698,3565.350074
-3534719.545288,25585,3587.326121
-4015078.356709,26098,3609.658416
-3865026.717611,26197,3633.241141
-3410749.913716,26073,3964.10128
-3270834.948573,25627,3986.783014
-4222826.385807,26661,4009.568503
-3698776.845919,26034,4031.982331
-3810026.358157,25969,4055.223569
-3469403.444671,25900,4384.261083
-3811156.886951,26001,4406.690084
-3838160.622887,25899,4428.909121
-3471552.251173,25580,4450.893862
-3904775.628927,26538,4473.625329
-3269924.244822,25958,4802.807379
-3599553.567581,25644,4824.870669
-3566149.515264,26067,4847.206897
-3562701.80334,26723,4873.186406
-3715711.726264,26045,5202.132547
-3509793.122603,25846,5224.391383
-3996722.631517,26613,5247.092044
-3454230.505477,25938,5269.457165
-3502227.198964,25973,5291.711308
-3686842.818267,25915,5621.662641
-3459323.23034,25912,5660.757488
-3833731.048042,25969,5682.991483
-3418754.151119,25106,5704.624312
-3642319.560912,25962,5726.901088

-3455448.897473,25206,1646.096026
-3395775.084326,25980,1661.31229
-3995850.681118,26530,1676.845607
-3262396.072292,25817,1692.03019
-3714743.226568,26460,1707.532196
-3194725.037435,25444,1722.441207
-3663390.693326,25603,1737.478237
-3838640.362647,25919,1752.664943
-4267053.647738,26630,1768.293494
-3846241.364751,26221,1783.660233
-3586247.470852,26308,1799.01787
-3491203.540982,25543,1955.747534
-3378369.150316,26198,1971.168424
-3303954.364208,25404,1986.145541
-3981329.86728,26153,2001.556863
-3876495.70505,26256,2017.053483
-3826206.216318,26174,2032.51258
-3873852.459241,26397,2048.099018
-3521072.686334,25808,2063.344974
-3537187.398775,25733,2078.542003
-3734865.904121,26437,2094.125017
-3379329.632078,25645,2109.285328
-4214037.058964,26802,2125.086038
-3600893.564919,25837,2140.362902
-3851074.843058,26429,2155.922438
-3703084.481341,26362,2171.44462
-3870368.33253,25900,2186.716892
-3927847.904212,26435,2202.24791
-3695162.761849,25841,2217.455999
-3460289.391472,25836,2232.671352
-3175881.220467,24807,2247.310521
-3706034.747233,26728,2385.243989
-3483832.38634,26010,2400.550971
-3587695.710309,25993,2415.823616
-3567786.844348,26002,2431.134171
-3654228.532518,25905,2446.349575
-3626282.355173,26065,2461.676603
-4108698.100927,27002,2477.525707
-3351904.620489,25507,2492.565573
-3374745.377908,25729,2507.700348
-3544502.093794,25919,2522.960958
-3637751.008532,26310,2538.461501
-3644845.210345,26007,2553.789682
-3652161.241686,26526,2569.430234
-4022545.058406,26236,2584.90944
-3821258.482442,25819,2600.149737
-3657860.322861,26103,2615.538587
-3481958.528182,26232,2631.00222
-3375007.297109,26061,2646.378211
-3555520.072405,25886,2661.643352
-3567217.570983,25962,2676.940187
-3882498.131421,26326,2805.590203
-3486344.672548,26081,2820.903669
-3532359.599839,25744,2836.023345
-3472153.262195,25886,2851.187597
-3599623.72451,26289,2866.557578
-3337233.804456,25579,2881.553301
-3710013.647332,25785,2896.673778
-3459265.434394,26209,2912.030548
-3791120.402196,26230,2927.375499
-3847252.292685,26309,2942.769327
-3520087.482607,25941,2957.967
-3887034.612063,26878,2973.737032
-3405568.657491,25846,2988.974548
-3750189.847752,25768,3004.156234
-3538473.609135,26361,3019.63481
-3806591.007215,26642,3035.30264
-3394310.474919,25997,3050.559102
-3300984.387559,25798,3065.697505
-3697467.249916,26271,3081.121526
-3953959.310831,26086,3096.427846
-4084090.057066,26671,3226.182732
-3867495.57334,26216,3241.580988
-3419870.648527,25677,3256.678568
-3518488.238713,25971,3271.95278
-3233842.536393,25469,3286.938069
-3515871.719353,26338,3302.417097
-3763553.740427,25521,3317.443632
-3745123.515258,26105,3332.769644
-3349300.128031,25780,3347.920817
-3812149.774533,25792,3363.056566
-3622892.439195,26120,3378.394375
-3278079.486662,25742,3393.5386
-3612397.296742,26204,3408.926674
-3581812.884797,25541,3423.937534
-3526672.211486,25616,3438.993052
-3625907.850806,25913,3454.216131
-3431241.082185,25857,3469.447378
-3829010.154902,25876,3484.684348
-3693222.42165,25799,3499.877765
-3545709.127048,26366,3515.383954
-3934407.577045,26689,3651.263361
-3675984.864269,25885,3666.489109
-3553002.106826,26217,3681.904838
-3934958.141895,26684,3697.56652
-3576936.310092,25897,3712.821266
-4139951.342259,26598,3728.457719
-4056275.841563,26488,3744.01566
-3593624.973026,26067,3759.354566
-3558813.439087,26001,3774.648473
-3394175.840432,26239,3790.076852
-3921152.92873,26744,3805.768309
-3956810.354781,26610,3821.404784
-3839221.996994,26366,3836.909588
-3765644.416902,26252,3852.313551
-3441064.054445,25631,3867.392535
-3767611.14947,26161,3882.739219
-3968988.929442,26478,3898.280493
-3456900.143655,25778,3913.434942
-3399442.287213,26110,3928.771909
-3504327.897857,25989,3944.072389
-3918446.541686,25980,4071.129269
-3418014.830723,25878,4086.358429
-3690281.844095,26004,4101.68557
-3673385.717101,26065,4117.046433
-3544513.786615,26312,4132.522468
-3305346.812202,25805,4147.721477
-3808545.04472,25954,4162.992859
-3767819.615772,26747,4178.712684
-3418443.122068,25620,4193.808144
-3285275.248982,26202,4209.194502
-3822600.484264,26289,4224.603997
-3777176.879658,25832,4239.815379
-4083558.868891,26559,4255.363614
-3546112.028267,25567,4270.426255
-4066300.932593,26748,4286.133363
-3559974.703297,25688,4301.257197
-4051582.008952,26115,4316.603174
-3930578.679141,26432,4332.11023
-3131122.436281,25433,4347.083419
-3465741.587074,26478,4362.626578
-3607032.29618,25947,4488.1069
-3971117.691107,26483,4503.685916
-3658164.336218,26022,4518.967489
-3521948.311621,26318,4534.454028
-3996866.954342,26387,4549.921781
-3463262.040765,26304,4565.403517
-4169489.747805,25912,4580.641267
-3449035.217867,26196,4596.03117
-3791379.314671,25820,4611.20149
-3354645.083756,25903,4626.432604
-4069362.78141,26769,4642.119886
-3410359.373479,25874,4657.307748
-3574271.683124,25820,4672.459774
-3357756.042423,25976,4687.717094
-3749395.069974,26294,4703.130879
-3742892.524926,26448,4718.662732
-3718346.285977,25886,4733.867415
-3755618.991791,25730,4748.961097
-3311130.081691,26684,4764.56719
-3496325.330857,25791,4779.714732
-3772002.305045,26049,4905.081532
-3638329.636153,26072,4920.414717
-3602989.920765,26168,4935.820521
-3888188.5265,26428,4951.381413
-3752550.461362,25990,4966.689142
-3820957.141729,26247,4982.145175
-3481632.465504,26363,4997.666919
-3473688.362611,25294,5012.635543
-3377263.009407,25710,5027.793099
-3759042.649912,26180,5043.221951
-3623875.972519,26119,5058.636129
-3515576.058011,25669,5073.794459
-3231244.725547,25593,5088.905162
-3719992.301157,25630,5104.020487
-4136595.168422,26683,5119.701677
-3782190.427414,26180,5135.107314
-3477549.666335,25839,5150.329814
-3732004.837753,25790,5165.519963
-3687962.990562,26362,5181.013838
-3494766.510718,26074,5196.346386
-3547976.532167,26165,5321.927097
-3272222.719438,25602,5336.984268
-4096540.239265,26204,5352.416171
-3776714.178009,26193,5367.85326
-3436073.224169,26104,5383.230484
-3486650.69039,26121,5398.604387
-3806831.879337,26373,5414.115
-3995537.313503,26558,5429.711805
-3494057.925738,25618,5444.78821
-3680760.212549,25891,5460.011416
-3438838.743482,25706,5475.16665
-4011771.960884,26906,5490.964752
-3695651.855866,26620,5506.601027
-3736426.728745,26263,5522.058007
-3750339.181786,26467,5537.619532
-3577283.085768,26064,5552.958069
-3866034.63882,26268,5568.394093
-3398537.262833,25657,5583.527428
-3677604.48708,25779,5598.740078
-3989367.846825,26363,5614.231051
