time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss
1348,1,25600,18,,,,,,,,,,,,
1165,2,51200,43,9341942.0,2.9923200000000002e-05,10,-5099073.885146,28498.0,-0.3531229874789715,7.030554e-08,0.2,0.0,18318032.401,3.796815872192383e-05,-3.9175661513581875e-06
1152,3,76800,66,6843916.5,2.98464e-05,20,-4872746.2854545005,28531.5,-0.35819759461283684,2.9406511e-08,0.2,0.0,14532986.442,0.0001404881477355957,-1.755339209921658e-06
1144,4,102400,89,6942022.0,2.97696e-05,30,-4805202.602961667,28318.333333333332,-0.3540507587939501,3.182795e-09,0.2,0.0,13558598.082,0.00013566017150878906,-4.5085581950843336e-07
1146,5,128000,111,4932677.0,2.96928e-05,40,-4753396.726371,28479.0,-0.35165261864662173,2.1469313e-08,0.2,0.0,11398957.711,0.00011551380157470703,-1.500865095295012e-06
327,6,153600,469,5822631.0,2.9616e-05,50,-4748444.1185032,28482.2,-0.3363914651572704,3.255205e-08,0.2,0.0,12174250.936,7.510185241699219e-05,-2.231431193649769e-06
363,7,179200,493,6717687.5,2.95392e-05,60,-4665119.718431166,28407.5,-0.3370452333688736,3.3273828e-08,0.2,0.0,12912562.835,5.412101745605469e-05,-2.135521965101361e-06
397,8,204800,515,6204017.5,2.94624e-05,70,-4641117.634632285,28369.714285714286,-0.3512781141847372,4.84474e-08,0.2,0.0,12195764.355,3.725290298461914e-05,-2.5111791910603644e-06
428,9,230400,537,6406692.5,2.93856e-05,80,-4644534.234898125,28389.5,-0.3400083931833506,3.992813e-08,0.2,0.0,14304695.369,2.574920654296875e-05,-2.3172274231910704e-06
457,10,256000,559,7878589.5,2.9308800000000003e-05,90,-4616978.519136,28384.88888888889,-0.3428724653571844,4.7506763e-08,0.2,0.0,15314976.411,1.7583370208740234e-05,-3.7507324595935643e-06
307,11,281600,916,7171619.0,2.9232e-05,100,-4616978.519136,28384.88888888889,-0.3424511201381683,5.0719827e-08,0.2,0.0,14221506.181,7.987022399902344e-06,-3.0665036756545304e-06
327,12,307200,938,8616603.0,2.91552e-05,110,-4616531.034763,28361.8,-0.357676304012537,8.8126395e-09,0.2,0.0,15601437.071,2.205371856689453e-06,-8.526158053427934e-07
346,13,332800,960,6794400.0,2.9078400000000003e-05,120,-4618071.414891455,28359.0,-0.35801234683394434,3.182795e-09,0.2,0.0,14973368.018,4.76837158203125e-06,-3.5722216125577687e-07
364,14,358400,982,6973317.5,2.90016e-05,130,-4599886.967274667,28365.333333333332,-0.35691102331876756,8.931384e-09,0.2,0.0,12893667.828,3.933906555175781e-06,-1.1769908014684915e-06
381,15,384000,1005,7048688.0,2.89248e-05,140,-4637207.647508001,28381.615384615383,-0.3520112669765949,4.173955e-08,0.2,0.0,14541327.827,1.5497207641601562e-06,-2.5510322884656488e-06
301,16,409600,1360,5348108.5,2.8848000000000002e-05,150,-4610880.026739786,28387.071428571428,-0.3402530180066824,4.998874e-08,0.2,0.0,10493878.547,1.5497207641601562e-06,-2.9616561369039117e-06
314,17,435200,1382,5768573.0,2.87712e-05,160,-4590435.6578781335,28374.666666666668,-0.34110440769791606,3.1974633e-08,0.2,0.0,11460135.827,1.1324882507324219e-06,-2.209205413237214e-06
328,18,460800,1404,6577859.5,2.86944e-05,170,-4606550.39161475,28411.5625,-0.3440775832384825,2.6565976e-08,0.2,0.0,11869023.771,8.344650268554688e-07,-1.6315530519932508e-06
341,19,486400,1426,8309811.0,2.8617600000000002e-05,180,-4614827.063721882,28418.235294117647,-0.3261645405590534,2.3297034e-08,0.2,0.0,16145992.935,5.364418029785156e-07,-1.406825613230467e-06
353,20,512000,1448,7619319.0,2.85408e-05,190,-4614697.242664333,28439.833333333332,-0.3438948568403721,3.4708066e-08,0.2,0.0,15350736.031,6.556510925292969e-07,-2.2326550679281355e-06
298,21,537600,1803,8108986.5,2.8464e-05,200,-4614697.242664333,28439.833333333332,-0.3318451686799526,2.1371525e-08,0.2,0.0,15125498.565,1.7881393432617188e-07,-1.2043305905535816e-06
308,22,563200,1825,6495445.5,2.8387199999999998e-05,210,-4597914.556854368,28423.842105263157,-0.3619134659022093,1.6544945e-08,0.2,0.0,13491314.29,5.364418029785156e-07,-9.934623958542943e-07
318,23,588800,1847,8881536.0,2.83104e-05,220,-4621505.787533449,28439.05,-0.3571917123645544,1.14436265e-08,0.2,0.0,16854581.364,3.5762786865234375e-07,-9.852804942056538e-07
328,24,614400,1870,6764362.5,2.82336e-05,230,-4618062.434124285,28437.190476190477,-0.35745259065926077,2.508983e-08,0.2,0.0,12825892.974,1.7881393432617188e-07,-2.0298496237955987e-06
338,25,640000,1893,5829406.5,2.8156799999999998e-05,240,-4629866.888955773,28444.863636363636,-0.34645671704411507,5.0268136e-09,0.2,0.0,12160103.519,3.5762786865234375e-07,-6.62857259158045e-07
296,26,665600,2247,6434046.5,2.808e-05,250,-4656113.2465573475,28475.217391304348,-0.33939847262203693,8.301344e-08,0.2,0.0,13258337.779,2.980232238769531e-07,-4.758607014082372e-06
304,27,691200,2269,7289864.0,2.8003200000000003e-05,260,-4664221.647501917,28485.0,-0.3251777927279472,1.6461126e-08,0.2,0.0,15768878.838,4.172325134277344e-07,-1.0346074122935533e-06
312,28,716800,2291,7404174.0,2.79264e-05,270,-4672726.066753,28488.0,-0.33783173517882825,3.2286625e-08,0.2,0.0,15059769.239,2.384185791015625e-07,-2.5935599114745853e-06
320,29,742400,2313,7735825.0,2.7849600000000002e-05,280,-4675397.001320154,28499.53846153846,-0.33893836256861687,6.5704806e-09,0.2,0.0,16409998.869,1.7881393432617188e-07,-7.015720475465059e-07
328,30,768000,2335,7956567.5,2.7772800000000003e-05,290,-4675397.001320154,28499.53846153846,-0.33015238054096696,1.3478566e-08,0.2,0.0,15814499.629,2.384185791015625e-07,-1.172926975414157e-06
295,31,793600,2690,6396161.0,2.7696e-05,300,-4662422.542326482,28497.185185185186,-0.35001511316001416,1.2849923e-08,0.2,0.0,13604724.67,0.0,-1.0240426054224373e-06
302,32,819200,2712,7217369.0,2.76192e-05,310,-4650958.187539358,28489.75,-0.35767329463362696,2.7944333e-08,0.2,0.0,13325436.206,1.7881393432617188e-07,-1.7557006794959306e-06
308,33,844800,2733,7816406.0,2.7542400000000002e-05,320,-4663333.87742207,28509.862068965518,-0.3525865564346313,1.1525116e-09,0.2,0.0,15169164.525,2.980232238769531e-07,-2.859950764104724e-07
315,34,870400,2756,6755244.0,2.74656e-05,330,-4675631.623037168,28516.566666666666,-0.3524153161197901,3.879424e-08,0.2,0.0,13023366.678,1.7881393432617188e-07,-2.257159212604165e-06
318,35,896000,2809,5790511.0,2.73888e-05,340,-4659401.765963291,28508.1935483871,-0.3380937700271606,6.486429e-08,0.2,0.0,11659526.732,2.384185791015625e-07,-3.831409034319222e-06
290,36,921600,3171,6070098.0,2.7312e-05,350,-4666196.872799782,28507.75,-0.34041525891423224,2.0256266e-08,0.2,0.0,11802088.105,2.384185791015625e-07,-1.5340717509388923e-06
284,37,947200,3333,7673740.0,2.72352e-05,360,-4663695.016874788,28503.454545454544,-0.333949057713151,1.0854564e-08,0.2,0.0,15346017.76,1.7881393432617188e-07,-9.46844695135951e-07
289,38,972800,3355,6801479.0,2.71584e-05,370,-4667290.495209853,28505.529411764706,-0.34712685553729533,2.3306348e-09,0.2,0.0,13920010.619,5.960464477539063e-08,-3.6774598993361e-07
295,39,998400,3377,8014620.5,2.70816e-05,380,-4677725.690872086,28519.314285714285,-0.3374852189421654,2.5348273e-08,0.2,0.0,15682053.172,2.980232238769531e-07,-1.7292210832238198e-06
301,40,1024000,3399,8656928.0,2.70048e-05,390,-4677725.690872086,28519.314285714285,-0.3285489827096462,6.1793255e-09,0.2,0.0,18118517.782,5.960464477539063e-08,-6.294606137089431e-07
279,41,1049600,3754,8112862.0,2.6928e-05,400,-4684562.215702972,28530.972222222223,-0.3516167335212231,1.6363337e-08,0.2,0.0,16893056.059,2.980232238769531e-07,-1.4041701797395944e-06
282,42,1075200,3803,8501569.0,2.68512e-05,410,-4693117.979004405,28542.864864864863,-0.3568337615728378,1.9208528e-08,0.2,0.0,15813204.239,1.7881393432617188e-07,-1.2869327329099178e-06
287,43,1100800,3825,7281770.5,2.67744e-05,420,-4692435.920176554,28539.13157894737,-0.3511199146509171,1.3301615e-08,0.2,0.0,13755785.071,0.0,-1.1675069690681993e-06
288,44,1126400,3908,5548986.0,2.6697600000000003e-05,430,-4695383.242639283,28535.4358974359,-0.34660357977449896,4.136702e-08,0.2,0.0,12314219.35,5.960464477539063e-08,-2.589172450825572e-06
293,45,1152000,3930,5827836.5,2.66208e-05,440,-4696376.054412151,28538.575,-0.3377644325196743,5.858019e-09,0.2,0.0,12278875.123,1.7881393432617188e-07,-5.235646385699511e-07
273,46,1177600,4308,6176908.0,2.6544000000000002e-05,450,-4706495.888069268,28564.243902439026,-0.32966092790663243,4.0177255e-08,0.2,0.0,13675813.956,0.0,-3.0038567492738367e-06
277,47,1203200,4339,8221550.5,2.6467200000000003e-05,460,-4705223.512894096,28554.35714285714,-0.330473954692483,2.9809307e-08,0.2,0.0,15957619.354,1.7881393432617188e-07,-2.7323433896526696e-06
281,48,1228800,4361,7305209.0,2.63904e-05,470,-4698919.804753768,28546.06976744186,-0.3435717171728611,1.8184073e-09,0.2,0.0,15430545.295,0.0,-2.8543383814394476e-07
284,49,1254400,4406,7396417.0,2.63136e-05,480,-4698919.804753768,28546.06976744186,-0.34224065935611725,2.3925677e-08,0.2,0.0,14167592.958,1.1920928955078125e-07,-2.072018221952021e-06
289,50,1280000,4428,8561784.0,2.62368e-05,490,-4701819.105755296,28549.136363636364,-0.34866991645097734,3.5339035e-08,0.2,0.0,16405771.344,0.0,-2.856688515748829e-06
272,51,1305600,4783,6501847.0,2.616e-05,500,-4694164.747240156,28534.155555555557,-0.36316323906183245,7.911585e-09,0.2,0.0,13360072.787,0.0,-5.642707110382616e-07
272,52,1331200,4878,6816970.0,2.60832e-05,510,-4694873.68881,28523.521739130436,-0.36265759529173375,2.4288893e-08,0.2,0.0,15096458.101,1.1920928955078125e-07,-1.6615450149402022e-06
271,53,1356800,5005,6037568.5,2.60064e-05,520,-4688867.502017852,28526.0,-0.35976620137691495,3.386289e-08,0.2,0.0,11255311.128,0.0,-2.1436880342662334e-06
274,54,1382400,5027,5745002.0,2.59296e-05,530,-4692994.133320458,28520.875,-0.3466256892383099,1.1927914e-08,0.2,0.0,12091227.874,2.384185791015625e-07,-8.975927485153079e-07
273,55,1408000,5157,7466071.5,2.58528e-05,540,-4695790.200693062,28532.69387755102,-0.33326942256093023,4.93601e-09,0.2,0.0,13618403.415,-1.1920928955078125e-07,-3.7592928856611253e-07
260,56,1433600,5511,7311049.5,2.5776e-05,550,-4687334.2237366,28522.44,-0.33567859496176244,3.710389e-08,0.2,0.0,13713985.255,5.960464477539063e-08,-2.907927380874753e-06
262,57,1459200,5552,6670287.0,2.5699200000000003e-05,560,-4690925.978520686,28527.941176470587,-0.34619148416817186,1.590699e-08,0.2,0.0,12778947.983,5.960464477539063e-08,-1.5316734788939357e-06
266,58,1484800,5574,8327576.0,2.56224e-05,570,-4698704.636819923,28529.5,-0.338974505096674,1.7010606e-08,0.2,0.0,16747199.364,0.0,-1.4095706283114851e-06
267,59,1510400,5644,9480933.0,2.55456e-05,580,-4698704.636819923,28529.5,-0.3314423141181469,1.593493e-08,0.2,0.0,18393884.564,0.0,-1.3497910113073886e-06
271,60,1536000,5666,7994578.5,2.54688e-05,590,-4698785.419275586,28534.094339622643,-0.3509259855002165,0.0,0.2,0.0,15682253.128,0.0,-2.2510718554258346e-07
