#{"t_start": 1733223098.3772006, "env_id": "None"}
r,l,t
-5161464.175748,21968,659.81072
-5668818.901743,23464,673.262139
-5089004.29638,22793,686.320846
-5195849.855596,22878,699.426134
-5979505.635149,23738,713.023508
-6491166.981513,24517,925.074641
-5801752.226827,23449,1444.888678
-5480113.41187,22996,1964.05892
-5583529.541551,23106,2483.570379
-5033449.546377,22565,3002.672364
-5545628.570903,23035,3019.408074
-5439525.134213,23373,3597.062413
-4798355.875398,21789,4115.712933
-4634443.70493,21603,4634.373121
-5693934.07537,23174,5153.79546
-5002970.805212,22305,5672.539752
223,23378,871.91333
-5233993.848777,23037,885.133102
-5154560.126539,22430,898.01534
-6416298.467668,24596,912.026054
-5657527.392027,23725,3326.226225
-5308672.564032,23200,3339.569577
-5368718.209754,23143,3352.865719
-4840049.805154,22039,3365.551091
-5041492.889233,22605,3378.530729
-5988026.487154,23769,3392.158576
-5313704.737208,22469,3405.07238
-5731262.637576,23151,3418.372296
-5023292.811293,22640,3431.372197
-5582840.642969,24027,3445.082586
-5017262.940243,22424,3457.953935
-5256061.198498,22408,3470.84144
-5799009.185313,24107,3484.651615
-5051543.17643,22378,3497.501862
-4541075.853995,21310,3509.7857
-5460034.42832,23250,3523.123719
-5754871.975306,23058,3536.37447
-5336677.396073,22993,3549.570291
-5527304.973247,22673,3562.59966
-5991113.97796,23642,3576.140478
